word	count	ipa	variants	route	confidence	reason	layer
געצויגן	3	ɡəʦˈɔjɡn		rule	MED		G
אייבערשטער'ס	3	ˈajbərʃtərs		rule	LOW	alef-default	G
טעכטער	3	tˈɛxtər		rule	MED		G
שלחן	3	ʃlxajn		rule	LOW	lk-fallback	L
טוסט	3	tist		rule	MED		G
אגרא	3	ˈaɡra		rule	LOW	alef-default	G
דכלה	3	dxˈalə	dəxˈalu	rule	LOW	model-pointed-guess	L
מאור	3	mir		rule	LOW	alef-default	G
ישעי	3	ˈiʃaj		rule	MED		G
קאפיטלעך	3	kˈafitləx		rule	LOW	alef-default,pe-default	G
לדוד	3	ldid	ldit	rule	MED		G
"כ""ה"	3	xuf haj		rule	LOW	letter-names	A
אינו	3	ˈini		rule	LOW	alef-default	G
רואה	3	rˈia		rule	LOW	alef-default	G
לונגען	3	lˈinɡən		rule	MED		G
יציאת	3	jʦˈias	jəʦˈias	rule	LOW	sefaria-pointed	L
רעספירעיטאר	3	rˈɛsfirajtar		rule	LOW	alef-default,pe-default	G
קמא	3	kma		rule	LOW	alef-default	G
צחות	3	ʦˈuxɔjs		rule	LOW	sefaria-pointed	L
כמה	3	kˈamu	kəmˈu	rule	LOW	audio-homograph	L
ברחמים	3	braxˈamim	bəraxˈamim	rule	LOW	sefaria-pointed	L
דערהויבענע	3	dˈɛrhɔjbənə		rule	MED		G
ויפק	3	ɔjfk		rule	LOW	pe-default	G
ס'ליגט	3	sliɡt		rule	MED	clitic	G
חנוכה	3	xˈanikə	xˈanukə	lexicon	HIGH		L
מתיר	3	mˈatir		rule	LOW	sefaria-pointed	L
בהיתר	3	bˈɛhətər		rule	LOW	lk-proclitic-pointed:printed-respelling	L
טרעפסט	3	trɛfst		rule	LOW	pe-default	G
קליפה	3	klˈipə		lexicon	MED	audio-pe	G
נאריש	3	nˈariʃ		rule	LOW	alef-default	G
יָבֹא	3	jˈubɔj		rule	LOW	alef-default	G
עַמּוֹנִי	3	ˈamɔjni		rule	MED		G
וּמוֹאָבִי	3	ˈimɔjubi		rule	MED		G
אֶל	3	ɛl		rule	MED		G
צוהערן	3	ʦˈihirn		rule	MED	prefix-rescue:gold+צו	G
באנקעס	3	bankˈɛs		rule	LOW	alef-default	G
נאכזאגן	3	nˈaxzaɡn		rule	LOW	alef-default	G
ראחמיסטריווקא	3	rxmistərˈivvku		rule	LOW	model-pointed-guess	L
באטלן	3	batln		rule	LOW	alef-default	G
זינדיגן	3	zˈindiɡn		rule	MED		G
דרשות	3	drˈuʃɔjs	dərˈuʃɔjs	rule	LOW	model-pointed-guess	L
לשמוע	3	lʃmˈiə		rule	MED		G
אולי	3	ˈili		rule	LOW	alef-default	G
לקראתי	3	likrˈusi		rule	LOW	lk-proclitic-pointed:sefaria-pointed	L
פניו	3	fnji		rule	LOW	pe-default	G
הביט	3	hbit		rule	MED		G
"אל""ף"	3	ˈaləf		rule	LOW	letter-name-word	A
שיינעם	3	ʃˈajnəm		rule	MED		G
עובר	3	ibr		rule	MED		G
מלקות	3	mˈalkis	mˈalkus	rule	LOW	sefaria-pointed	L
גט	3	ɡajt		rule	LOW	sefaria-pointed	L
צווינגסט	3	ʦvinɡst		rule	MED		G
דזשאני	3	ʤˈani		rule	LOW	alef-default	G
מ'שמייסט	3	mʃmajst		rule	MED	clitic	G
ארויסגעדרייט	3	arˈoʊzɡədrajt		rule	LOW	alef-default	G
עלטער	3	ˈɛltər		rule	MED		G
חינוך	3	xˈinəx		rule	LOW	printed-respelling	L
טיפע	3	tˈifə		rule	LOW	pe-default	G
באגעגנט	3	baɡˈɛɡnt		rule	LOW	alef-default	G
קאריצער	3	kˈariʦər		rule	LOW	alef-default	G
קוגלעך	3	kˈiɡləx		rule	MED		G
אראפגעשריבן	3	arˈupɡəʃribn		rule	MED	prefix-rescue:gold+אראפ	G
שיעורים	3	ʃˈiəirim		rule	MED		G
שבראנו	3	ʒbrˈani		rule	LOW	alef-default	G
והבדילנו	3	ˈibdilni		rule	MED		G
התועים	3	hsˈiajm		fallback	LOW	lk-fallback	L
רצונו	3	rʦˈini		rule	MED		G
הודו	3	hˈidi		rule	MED		G
פדות	3	pdis	pədˈus	rule	LOW	sefaria-pointed	L
אריינרוקן	3	arˈaːnrikn		rule	LOW	alef-default	G
זיסקייט	3	zˈiskaːt		rule	MED		G
ידי	3	ˈidi		rule	MED		G
והקדוש	3	ˈikdiʃ		rule	MED		G
מצילנו	3	mʦˈilni		rule	MED		G
מידם	3	midm		rule	MED		G
שבכל	3	ʃˈɛbxul		rule	LOW	sefaria-pointed	L
עומדים	3	ˈimdim		rule	MED		G
ראטעוועט	3	rˈatəvət		rule	LOW	alef-default	G
פארלענדן	3	farlˈɛndn		rule	LOW	alef-default,pe-default	G
עז	3	ɛz	ɛs	rule	MED		G
כאשר	3	xaʃr		rule	LOW	alef-default	G
תשמע	3	tˈiʃma		rule	LOW	sefaria-pointed	L
זשאנדאר	3	ʒˈandar		rule	LOW	alef-default	G
נערוון	3	nɛrvn		rule	MED		G
ממורי	3	mmˈiri		rule	MED		G
תוקע	3	tɔjkˈaja		rule	LOW	sefaria-pointed	L
נִבְלָתְךָ	3	nivlˈusxu		rule	LOW	lk-fallback	L
